path,label
dataset/train/van/van-front (133).jpg,van
dataset/train/van/van-front (151).jpg,van
dataset/train/sedan/sedan-front (1277).jpg,sedan
dataset/train/sedan/sedan-back (1029).jpg,sedan
dataset/train/van/van-back (73).jpg,van
dataset/train/sedan/sedan-back (2369).jpg,sedan
dataset/train/sedan/sedan-front (1264).jpg,sedan
dataset/train/sedan/sedan-front (1229).jpg,sedan
dataset/train/truck/truck-front (143).jpg,truck
dataset/train/sedan/sedan-front (1759).jpg,sedan
dataset/train/sedan/sedan-back (2634).jpg,sedan
dataset/train/sedan/sedan-front (474).jpg,sedan
dataset/train/pickup-truck/pickup-back (129).jpg,pickup-truck
dataset/train/hatchback/hatchback-front (161).jpg,hatchback
dataset/train/sedan/sedan-front (27).jpg,sedan
dataset/train/van/van-front (256).jpg,van
dataset/train/sedan/sedan-front (1661).jpg,sedan
dataset/train/sedan/sedan-front (1816).jpg,sedan
dataset/train/pickup-truck/pickup-front (109).jpg,pickup-truck
dataset/train/sedan/sedan-back (1180).jpg,sedan
dataset/train/sedan/sedan-back (1825).jpg,sedan
dataset/train/bus/bus-front (39).jpg,bus
dataset/train/hatchback/hatchback-front (284).jpg,hatchback
dataset/train/sedan/sedan-front (41).jpg,sedan
dataset/train/bus/bus-front (61).jpg,bus
dataset/train/van/van-front (158).jpg,van
dataset/train/sedan/sedan-back (613).jpg,sedan
dataset/train/hatchback/hatchback-back (508).jpg,hatchback
dataset/train/sedan/sedan-back (2053).jpg,sedan
dataset/train/hatchback/hatchback-back (301).jpg,hatchback
dataset/train/crossover/crossover-back (334).jpg,crossover
dataset/train/sedan/sedan-front (183).jpg,sedan
dataset/train/bus/bus-back (4).jpg,bus
dataset/train/truck/truck-back (4).jpg,truck
dataset/train/truck/truck-back (5).jpg,truck
dataset/train/pickup-truck/pickup-front (220).jpg,pickup-truck
dataset/train/sedan/sedan-front (1849).jpg,sedan
dataset/train/sedan/sedan-back (1493).jpg,sedan
dataset/train/crossover/crossover-back (130).jpg,crossover
dataset/train/sedan/sedan-back (229).jpg,sedan
dataset/train/pickup-truck/pickup-back (179).jpg,pickup-truck
dataset/train/sedan/sedan-back (2285).jpg,sedan
dataset/train/crossover/crossover-back (311).jpg,crossover
dataset/train/crossover/crossover-back (338).jpg,crossover
dataset/train/van/van-back (145).jpg,van
dataset/train/sedan/sedan-front (1429).jpg,sedan
dataset/train/van/van-front (201).jpg,van
dataset/train/sedan/sedan-front (1743).jpg,sedan
dataset/train/sedan/sedan-front (421).jpg,sedan
dataset/train/sedan/sedan-back (1787).jpg,sedan
dataset/train/sedan/sedan-front (194).jpg,sedan
dataset/train/sedan/sedan-front (1263).jpg,sedan
dataset/train/pickup-truck/pickup-front (234).jpg,pickup-truck
dataset/train/truck/truck-back (73).jpg,truck
dataset/train/sedan/sedan-front (1721).jpg,sedan
dataset/train/hatchback/hatchback-front (152).jpg,hatchback
dataset/train/sedan/sedan-front (1839).jpg,sedan
dataset/train/crossover/crossover-front (249).jpg,crossover
dataset/train/hatchback/hatchback-front (333).jpg,hatchback
dataset/train/sedan/sedan-back (1101).jpg,sedan
dataset/train/sedan/sedan-front (148).jpg,sedan
dataset/train/sedan/sedan-front (1550).jpg,sedan
dataset/train/sedan/sedan-front (195).jpg,sedan
dataset/train/hatchback/hatchback-front (153).jpg,hatchback
dataset/train/pickup-truck/pickup-front (235).jpg,pickup-truck
dataset/train/sedan/sedan-front (1026).jpg,sedan
dataset/train/sedan/sedan-front (1206).jpg,sedan
dataset/train/hatchback/hatchback-front (174).jpg,hatchback
dataset/train/van/van-back (48).jpg,van
dataset/train/sedan/sedan-front (399).jpg,sedan
dataset/train/hatchback/hatchback-back (433).jpg,hatchback
dataset/train/sedan/sedan-back (2478).jpg,sedan
dataset/train/crossover/crossover-back (248).jpg,crossover
dataset/train/sedan/sedan-front (282).jpg,sedan
dataset/train/sedan/sedan-front (1782).jpg,sedan
dataset/train/van/van-front (257).jpg,van
dataset/train/pickup-truck/pickup-back (98).jpg,pickup-truck
dataset/train/hatchback/hatchback-back (500).jpg,hatchback
dataset/train/van/van-back (155).jpg,van
dataset/train/van/van-front (206).jpg,van
dataset/train/sedan/sedan-back (443).jpg,sedan
dataset/train/truck/truck-front (169).jpg,truck
dataset/train/sedan/sedan-back (2946).jpg,sedan
dataset/train/crossover/crossover-front (139).jpg,crossover
dataset/train/sedan/sedan-front (1780).jpg,sedan
dataset/train/sedan/sedan-front (1171).jpg,sedan
dataset/train/hatchback/hatchback-front (127).jpg,hatchback
dataset/train/sedan/sedan-front (1771).jpg,sedan
dataset/train/hatchback/hatchback-back (481).jpg,hatchback
dataset/train/truck/truck-back (122).jpg,truck
dataset/train/hatchback/hatchback-back (227).jpg,hatchback
dataset/train/hatchback/hatchback-back (556).jpg,hatchback
dataset/train/truck/truck-front (139).jpg,truck
dataset/train/sedan/sedan-front (1697).jpg,sedan
dataset/train/van/van-front (302).jpg,van
dataset/train/pickup-truck/pickup-back (96).jpg,pickup-truck
dataset/train/sedan/sedan-front (1794).jpg,sedan
dataset/train/crossover/crossover-back (352).jpg,crossover
dataset/train/truck/truck-back (79).jpg,truck
dataset/train/sedan/sedan-front (1802).jpg,sedan
dataset/train/sedan/sedan-front (1409).jpg,sedan
dataset/train/sedan/sedan-front (113).jpg,sedan
dataset/train/truck/truck-front (30).jpg,truck
dataset/train/sedan/sedan-front (42).jpg,sedan
dataset/train/truck/truck-front (181).jpg,truck
dataset/train/sedan/sedan-front (1406).jpg,sedan
dataset/train/hatchback/hatchback-back (550).jpg,hatchback
dataset/train/crossover/crossover-back (174).jpg,crossover
dataset/train/truck/truck-front (120).jpg,truck
dataset/train/sedan/sedan-back (1780).jpg,sedan
dataset/train/van/van-front (235).jpg,van
dataset/train/sedan/sedan-front (150).jpg,sedan
dataset/train/van/van-front (157).jpg,van
dataset/train/sedan/sedan-front (1495).jpg,sedan
dataset/train/sedan/sedan-back (1907).jpg,sedan
dataset/train/crossover/crossover-front (152).jpg,crossover
dataset/train/van/van-back (117).jpg,van
dataset/train/hatchback/hatchback-back (86).jpg,hatchback
dataset/train/hatchback/hatchback-back (110).jpg,hatchback
dataset/train/hatchback/hatchback-front (219).jpg,hatchback
dataset/train/crossover/crossover-front (182).jpg,crossover
dataset/train/sedan/sedan-front (208).jpg,sedan
dataset/train/crossover/crossover-back (223).jpg,crossover
dataset/train/van/van-front (251).jpg,van
dataset/train/sedan/sedan-back (339).jpg,sedan
dataset/train/sedan/sedan-front (390).jpg,sedan
dataset/train/van/van-back (35).jpg,van
dataset/train/sedan/sedan-front (1778).jpg,sedan
dataset/train/sedan/sedan-front (1611).jpg,sedan
dataset/train/crossover/crossover-front (189).jpg,crossover
dataset/train/sedan/sedan-front (353).jpg,sedan
dataset/train/van/van-front (123).jpg,van
dataset/train/sedan/sedan-front (278).jpg,sedan
dataset/train/van/van-front (243).jpg,van
dataset/train/bus/bus-front (5).jpg,bus
dataset/train/sedan/sedan-front (1443).jpg,sedan
dataset/train/crossover/crossover-back (238).jpg,crossover
dataset/train/hatchback/hatchback-back (522).jpg,hatchback
dataset/train/hatchback/hatchback-front (279).jpg,hatchback
dataset/train/sedan/sedan-front (1626).jpg,sedan
dataset/train/motorcycle/1_BICYCLE_16-40-07-393.jpg,motorcycle
dataset/train/hatchback/hatchback-front (186).jpg,hatchback
dataset/train/van/van-back (134).jpg,van
dataset/train/van/van-back (191).jpg,van
dataset/train/van/van-back (170).jpg,van
dataset/train/sedan/sedan-back (2802).jpg,sedan
dataset/train/crossover/crossover-front (340).jpg,crossover
dataset/train/sedan/sedan-back (2574).jpg,sedan
dataset/train/crossover/crossover-back (353).jpg,crossover
dataset/train/van/van-front (113).jpg,van
dataset/train/van/van-back (202).jpg,van
dataset/train/hatchback/hatchback-back (538).jpg,hatchback
dataset/train/crossover/crossover-front (331).jpg,crossover
dataset/train/sedan/sedan-front (366).jpg,sedan
dataset/train/sedan/sedan-front (294).jpg,sedan
dataset/train/motorcycle/1_BICYCLE_16-34-01-585.jpg,motorcycle
dataset/train/van/van-front (49).jpg,van
dataset/train/hatchback/hatchback-back (558).jpg,hatchback
dataset/train/van/van-front (149).jpg,van
dataset/train/truck/truck-back (52).jpg,truck
dataset/train/sedan/sedan-front (1300).jpg,sedan
dataset/train/sedan/sedan-front (458).jpg,sedan
dataset/train/van/van-front (236).jpg,van
dataset/train/crossover/crossover-back (142).jpg,crossover
dataset/train/sedan/sedan-back (2126).jpg,sedan
dataset/train/motorcycle/1_BICYCLE_16-15-29-560.jpg,motorcycle
dataset/train/sedan/sedan-front (1639).jpg,sedan
dataset/train/sedan/sedan-front (1530).jpg,sedan
dataset/train/motorcycle/1_BICYCLE_13-53-58-111.jpg,motorcycle
dataset/train/motorcycle/1_BICYCLE_16-28-00-899.jpg,motorcycle
dataset/train/hatchback/hatchback-front (126).jpg,hatchback
dataset/train/van/van-front (24).jpg,van
dataset/train/sedan/sedan-back (1799).jpg,sedan
dataset/train/sedan/sedan-front (1561).jpg,sedan
dataset/train/sedan/sedan-front (1169).jpg,sedan
dataset/train/sedan/sedan-back (2334).jpg,sedan
dataset/train/van/van-front (152).jpg,van
dataset/train/hatchback/hatchback-front (129).jpg,hatchback
dataset/train/hatchback/hatchback-back (521).jpg,hatchback
dataset/train/van/van-back (86).jpg,van
dataset/train/sedan/sedan-back (1012).jpg,sedan
dataset/train/bus/bus-front (23).jpg,bus
dataset/train/van/van-back (119).jpg,van
dataset/train/van/van-front (153).jpg,van
dataset/train/sedan/sedan-front (127).jpg,sedan
dataset/train/sedan/sedan-back (2669).jpg,sedan
dataset/train/pickup-truck/pickup-back (214).jpg,pickup-truck
dataset/train/van/van-back (167).jpg,van
dataset/train/van/van-back (9).jpg,van
dataset/train/pickup-truck/pickup-back (47).jpg,pickup-truck
dataset/train/hatchback/hatchback-front (15).jpg,hatchback
dataset/train/hatchback/hatchback-back (442).jpg,hatchback
dataset/train/hatchback/hatchback-back (193).jpg,hatchback
dataset/train/hatchback/hatchback-back (565).jpg,hatchback
dataset/train/sedan/sedan-front (1722).jpg,sedan
dataset/train/sedan/sedan-front (1801).jpg,sedan
dataset/train/van/van-back (16).jpg,van
dataset/train/sedan/sedan-front (1646).jpg,sedan
